Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
Garud Boys Hostel,Boys,"New Baneshwor, Kathmandu","New Baneshwor, Kathmandu, Bagmati Province 44600",+977 981-2058418,Not found,Not found,Not found,https://www.facebook.com/Garudboyshostel/,Kailash (Hostel Owner),4.7 (110 reviews),Not found,https://www.facebook.com/Garudboyshostel/
Lilly Girls Hostel,Girls,"New Baneshwor, Kathmandu","Sankhamul Road, New Baneshwor, Kathmandu 44600",+977 981-9349137,+977 981-9349137,Not found,Not found,https://www.facebook.com/groups/1236030570184020/,Not found,4.4 (127 reviews),Not found,https://www.facebook.com/groups/1236030570184020/
MPA Boys Hostel,Boys,"Buddhanagar / New Baneshwor, Kathmandu","Buddhanagar 10 (Near Civil Hospital), Kathmandu","+977 984-1630195, +977 985-1079058",+977 984-1630195,shahimadan510@gmail.com,https://www.mpaboyshostel.com/,Not found,Madan Shahi,Not found,"100+ residents (Single, 2, 3, 4-seater)",https://www.mpaboyshostel.com/
New Hill Boys Hostel,Boys,"New Baneshwor, Kathmandu","Thapagaun, Naya Baneshwor (Opposite Baneshwor Banquet), Kathmandu","+977 984-1313288, +977 981-8350926",Not found,infonewboyshillhostel@gmail.com,https://newhillboyshostel.com/,Not found,Not found,4.1 (33 reviews),"Single, Double, 3-bed, 4-bed rooms",https://newhillboyshostel.com/
Happy Home Girls Hostel,Girls,"New Baneshwor, Kathmandu","10 Chhakkubakku Marg, New Baneshwor, Kathmandu 44600",+977 980-4059727,+977 980-4059727,Not found,Not found,https://www.facebook.com/happyhomegirlshostel/,Not found,4.3 (57 reviews),Not found,https://hostelsinnepal.com/hostel/happy-home-girls-hostel/
Baneshwor Girls Hostel,Girls,"New Baneshwor, Kathmandu","Lakhe Chaur Marg, New Baneshwor, Kathmandu 44600",+977 984-1458018,Not found,Not found,Not found,Not found,Not found,4.2 (26 reviews),Not found,https://wanderlog.com/place/details/15974673/baneshwor-girls-hostel
Sarathi Girls Hostel,Girls,"New Baneshwor, Kathmandu","Saraswoti Marga, Near Nobel Academy, Thapagaun, Kathmandu","+977 984-5670550, +977 986-0830349",+977 986-0830349,Not found,Not found,Not found,Not found,Not found,Not found,https://www.collegenp.com/hostel/sarathi-girls-hostel
Valley Boys Hostel,Boys,"New Baneshwor, Kathmandu","Madhya Marg, Sankhamul Road, New Baneshwor, Kathmandu 44600",+977 981-8146661,+977 981-8146661,Not found,Not found,https://www.facebook.com/61561911932027,Not found,4.8 (23 reviews),"Double, Triple, 4-seater rooms",https://www.facebook.com/61561911932027
Savyata Boys Hostel,Boys,"Buddhanagar / New Baneshwor, Kathmandu","Godhuli Galli, Buddhanagar / Shankhamul Marga, New Baneshwor","+977 984-0397355, +977 981-5665066",+977 984-0397355,Not found,Not found,https://www.facebook.com/Savyataboyshotel/,Not found,3.7 (11 reviews),Not found,https://www.facebook.com/Savyataboyshotel/
8 Eleven Boys Hostel,Boys,"New Baneshwor, Kathmandu","New Baneshwor, Kathmandu 44600",+977 974-0830258,Not found,Not found,Not found,https://www.facebook.com/8elevenboyshostel/,Not found,4.6 (22 reviews),2-seater and 3-seater rooms,https://www.facebook.com/8elevenboyshostel/
Prime Boys Hostel,Boys,"New Baneshwor, Kathmandu","Prayag Marg, New Baneshwor, Kathmandu 44600",+977 976-8522840,Not found,Not found,Not found,Not found,Not found,4.6 (20 reviews),Not found,https://maps.google.com
Nirvana Girls Hostel,Girls,"New Baneshwor, Kathmandu","New Baneshwor, Kathmandu 44600",+977 984-1067991,Not found,Not found,Not found,Not found,Not found,4.9 (41 reviews),Not found,https://maps.google.com
Neha Girls Hostel,Girls,"New Baneshwor, Kathmandu","26 Sangam Chowk Marg, New Baneshwor, Kathmandu 44600",+977 981-6013252,Not found,Not found,Not found,https://www.facebook.com/profile.php?id=61555432594487,Not found,4.8 (33 reviews),Not found,https://www.facebook.com/profile.php?id=61555432594487
Amazon Boys Hostel,Boys,"New Baneshwor, Kathmandu","M8FR+QFW, 32 Amaravati Marg, Kathmandu 44600",+977 982-6752244,+977 982-6752244,Not found,Not found,Not found,Not found,4.1 (9 reviews),Not found,https://maps.google.com
Lucky Boys Hostel,Boys,"New Baneshwor, Kathmandu","New Baneshwor, Kathmandu",+977 981-2140917,+977 981-2140917,Not found,Not found,https://www.facebook.com/p/Lucky-Boys-Hostel-61574771409356/,Not found,Not found,"1, 2, 3, 4 Seater rooms",https://www.facebook.com/p/Lucky-Boys-Hostel-61574771409356/
