Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
Toshit Boys Hostel,Boys,"Old Baneshwor, Kathmandu","P82Q+V59, Old Baneshwor Road, Kathmandu, Bagmati Province 44600",+977 984-8051505,Not found,Not found,Not found,https://www.facebook.com/share/1EsMHYFFAu/?mibextid=wwXIfr,Not found,4.9 (239 reviews),Not found,https://www.facebook.com/share/1EsMHYFFAu/?mibextid=wwXIfr
Shree Girls Hostel Old Baneshwor,Girls,"Old Baneshwor, Kathmandu","Bhimsengola-31, Old Baneshwor, Kathmandu, Bagmati Province 44600",+977 976-8910904,Not found,Not found,Not found,Not found,Not found,5.0 (8 reviews),Not found,https://nepalihostels.com/explore-hostels/shree-girls-hostel-old-baneshwor
Juni Girls Hostel,Girls,"Old Baneshwor, Kathmandu","M8XV+J37, Old Baneshwor / Battisputali, Kathmandu 44600",+977 984-1618264,Not found,Not found,Not found,https://www.facebook.com/p/Juni-girls-hostel-100076658492131/,Not found,4.5 (99 reviews),Not found,https://www.facebook.com/p/Juni-girls-hostel-100076658492131/
Manakamana Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Bhimsengola Marga, Katyayani Chowk, Old Baneshwor, Kathmandu","+977 980-4915365, +977 986-0497181, +977 981-5653549",Not found,Not found,Not found,https://www.facebook.com/girlshostel44/,Not found,4.1 (15 reviews),"Single, Double, Triple sharing rooms",https://www.facebook.com/girlshostel44/
Vivanta Homes Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Opposite Global College of Management, Bhimsengola, Purano Baneshwor, Kathmandu","+977 981-4998006, +977 980-4953944",Not found,Not found,Not found,https://www.facebook.com/blackfearthers/,Not found,Not found,Top 3 floors of building,https://www.facebook.com/blackfearthers/
The Comfort Cove Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Prayag Marg, Old Baneshwor, Kathmandu 44600",+977 986-9516795,+977 986-9516795,Not found,Not found,Not found,"Susma (Cook/Staff, noted in reviews)",4.9 (18 reviews),Not found,https://maps.google.com
Blissful Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Rudra Mati Marg, Old Baneshwor, Kathmandu 44600",+977 984-1310355,Not found,Not found,Not found,Not found,Not found,4.6 (48 reviews),Not found,https://maps.google.com
Miracle Girls Hostel,Girls,"Old Baneshwor, Kathmandu","M8XJ+9G7, Rohini Marg, Old Baneshwor, Kathmandu 44600",+977 984-9117800,Not found,Not found,Not found,Not found,Not found,4.7 (27 reviews),Not found,https://maps.google.com
Kathmandu Boys Hostel,Boys,"Old Baneshwor, Kathmandu","Panchakumari Marg - 34, Old Baneshwor, Kathmandu 44600",+977 984-1748599,Not found,Not found,Not found,https://www.facebook.com/profile.php?id=100005776606292,Not found,3.8 (91 reviews),Not found,https://www.facebook.com/profile.php?id=100005776606292
Kathmandu Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Panchakumari Marg 34, Old Baneshwor, Kathmandu 44600",+977 1-4475161,Not found,Not found,Not found,Not found,Not found,3.6 (20 reviews),Not found,https://maps.google.com
Homely Girls Hostel,Girls,"Old Baneshwor, Kathmandu","Basuki Marg, Purano Baneshwor, Kathmandu 44600",+977 984-1905323,Not found,Not found,Not found,Not found,Not found,4.7 (24 reviews),Not found,https://maps.google.com
Metro Boys Hostel,Boys,"Old Baneshwor, Kathmandu","Near Purano Baneshwor Bus Station, Old Baneshwor, Kathmandu",+977 980-4878571,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://www.hostelpilot.com/blogs/best-boys-hostels-baneshwor
Shree Ganesh Boys Hostel,Boys,"Old Baneshwor / Battisputali, Kathmandu","Battisputali, Old Baneshwor (Near Thames College), Kathmandu","+977 981-8139773, +977 980-8957670, +977 981-3119263",Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://maps.google.com
Quality Boys Hostel,Boys,"Old Baneshwor / Battisputali, Kathmandu","Battisputali, Old Baneshwor, Kathmandu","+977 980-1063775, +977 1-4110038, +977 981-3230542",Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://maps.google.com
HARK Boys Hostel,Boys,"Old Baneshwor / Battisputali, Kathmandu","Battisputali, Old Baneshwor corridor, Kathmandu",+977 980-4502718,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://maps.google.com
Tridev Boys Hostel,Boys,"Old Baneshwor, Kathmandu","P82X+226 Venus English School, Bhimsengola Marg, Kathmandu 44600",Not found,Not found,Not found,Not found,https://www.facebook.com/61582496361671/,Not found,4.9 (11 reviews),Not found,https://maps.google.com
