Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
Lifeline Hostel (Boys),Boys,"Kumaripati, Lalitpur","Near Bluebird College, Jagannath marga, Near Prasadi College, Kumaripati Chowk, Lalitpur 44600",+977 985-1121345,Not found,Not found,Not found,https://www.facebook.com/Lifeline.hostel/,Not found,5.0 (18 reviews),"Table tennis, badminton and basketball facilities; single, double and triple rooms",https://maps.google.com
City Boy's Hostel,Boys,"Kumaripati, Lalitpur","Kumaripati, Dakshinkali St, Near Blue Bird College, Lalitpur 44600","+977 984-1029219, +977 985-1152553",Not found,Not found,Not found,https://www.facebook.com/cityboyshostel1/,Not found,4.6 (12 reviews),"9 well-appointed rooms, convenient location for Bluebird and Omega students",https://maps.google.com
Jawalakhel Boys Hostel (Block B),Boys,"Jawalakhel, Lalitpur","Pulchowk - Dhobighat Rd, Jawalakhel, Lalitpur 44600",+977 985-1122078,Not found,Not found,https://www.jawalakhelboyshostel.com/,Not found,Not found,5.0 (63 reviews),"Clean rooms, high-rated laundry service, peaceful atmosphere",https://www.jawalakhelboyshostel.com/
Mid Town Boys Hostel Block A,Boys,"Thasikhel / Jawalakhel, Lalitpur","Shanti Marg, Thasikhel, Lalitpur 44700",+977 985-1167133,+977 985-1167133,Not found,https://www.hostelsewa.com.np/,Not found,Not found,4.2 (90 reviews),"Close proximity to Prasadi Academy and United Academy, multi-floor setup",https://maps.google.com
Mountain Boys Hostel (Block A & C),Boys,"Jawalakhel / Kumaripati, Lalitpur","Kulkhya Marg Paschim, Lalitpur 44600",+977 984-9154695,Not found,Not found,Not found,https://www.facebook.com/100047761736057/,Not found,"4.1 (28 reviews) / Block C: 4.2 (37 reviews)","Multi-block student accommodation catering to Jawalakhel/Kumaripati colleges",https://maps.google.com
Downtown Boys Hostel,Boys,"Jawalakhel, Lalitpur","M8F9+PCH, Jawalakhel, Lalitpur 44600",+977 986-6011412,Not found,Not found,Not found,Not found,Not found,4.7 (14 reviews),"Spacious rooms, highly praised family management and hygiene",https://maps.google.com
Shree Shubhagriha Girls Hostel,Girls,"Manbhawan / Kumaripati, Lalitpur","Manbhawan Marg, Lalitpur 44600",+977 984-9875310,Not found,Not found,Not found,Not found,Not found,4.7 (142 reviews),"Large capacity, primary choice for Prasadi Academy female students, 24/7 water",https://maps.google.com
Padma Girls Hostel (Kumaripati Branch),Girls,"Kumaripati / Manbhawan, Lalitpur","1 Manbhawan Marg, Lalitpur 44600","+977 985-1236346, +977 1-5406344",Not found,Not found,http://www.padmagirlshostel.com.np/,https://www.facebook.com/padmagirlshostel/,Not found,4.8 (22 reviews),"Established hostel chain branch, quiet residential environment",http://www.padmagirlshostel.com.np/
Hustler Girls Hostel,Girls,"Kumaripati / Lagankhel, Lalitpur","Hustler Girls Hostel, Lalitpur 44702",+977 976-5569302,+977 976-5569302,Not found,Not found,Not found,"Ritu ma'am (Warden), Ama",4.9 (75 reviews),"Exceptional family atmosphere, strict safety standards, healthy meals",https://maps.google.com
Siya's Home Girls Hostel,Girls,"Kumaripati, Lalitpur","Kumaripati, Lalitpur 44600",+977 980-6072662,Not found,Not found,Not found,https://www.facebook.com/p/Siyas-Home-Womens-Hostel-100063534221780/,Not found,3.2 (13 reviews),Budget-friendly options with easy access to major public transit routes,https://maps.google.com
