Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
City Holiday Boys Hostel,Boys,"Bagbazar, Kathmandu","Shabda Marg, Bagbazar-28, Kathmandu, Bagmati Province 44600","+977 986-9613498, +977 984-9097871, +977 980-5145196",+977 986-9613498,Not found,http://cityholidayhostel.com/,Not found,Not found,3.9 (78 reviews),Not found,http://cityholidayhostel.com/
Pacific Ocean Boys Hostel,Boys,"Bagbazar, Kathmandu","Siddartha Marg, Bagbazar, Kathmandu, Bagmati Province 14356",+977 982-3063529,+977 982-3063529,Not found,Not found,Not found,Not found,4.6 (75 reviews),Not found,https://maps.google.com
Pacific Boys Hostel Bagbazar,Boys,"Bagbazar, Kathmandu","P83C+849, 28 Adwait Marg, Bagbazar, Kathmandu 44600",+977 981-0321995,Not found,Not found,Not found,Not found,Not found,4.3 (34 reviews),Attached bathrooms and elevator access,https://maps.google.com
Green Yard Boys Hostel Bagbazar,Boys,"Bagbazar, Kathmandu","Bala Marg, Bagbazar, Kathmandu, Bagmati Province 44600",+977 984-5681833,Not found,Not found,http://www.greenyardhostel.com/,Not found,Not found,3.1 (12 reviews),Not found,http://www.greenyardhostel.com/
Creative Boys Hostel,Boys,"Bagbazar, Kathmandu","Shanta Marg, Bagbazar, Kathmandu, Bagmati Province 00977",+977 982-3638935,Not found,Not found,Not found,Not found,Not found,5.0 (13 reviews),Not found,https://maps.google.com
Drishti Boys Hostel,Boys,"Bagbazar, Kathmandu","P83C+V47, Bagbazar, Kathmandu, Bagmati Province 44600",+977 970-3936280,Not found,Not found,Not found,Not found,Not found,5.0 (8 reviews),Not found,https://maps.google.com
Cozy Girls Hostel,Girls,"Bagbazar, Kathmandu","P83C+77V, 28 Adwait Marg, Bagbazar, Kathmandu 44600",+977 985-1214169,Not found,Not found,Not found,Not found,Not found,3.9 (77 reviews),Around 130 students capacity,https://maps.google.com
Nawajoti Cozy Girls Hostel,Girls,"Bagbazar / Kamaldi, Kathmandu","P83J+3M8, Kamaldi / Bagbazar border, Kathmandu 44600",+977 985-1164392,Not found,Not found,Not found,https://www.facebook.com/share/16dCgSDQE2/?mibextid=wwXIfr,Not found,4.9 (34 reviews),Not found,https://www.facebook.com/share/16dCgSDQE2/?mibextid=wwXIfr
Galz Girls Hostel,Girls,"Bagbazar, Kathmandu","Dharma Chakra Galli, Bagbazar, Kathmandu 44600",+977 985-1080638,Not found,Not found,http://galzhostel.com.np/,Not found,Not found,4.5 (26 reviews),Not found,http://galzhostel.com.np/
Easy Girls Hostel,Girls,"Bagbazar, Kathmandu","P83C+V73, Bagbazar, Kathmandu 44600","+977 986-3220309, +977 980-8506536",+977 986-3220309,Not found,Not found,https://www.facebook.com/deepakjoshi8473/,Deepak Joshi (Owner/Page admin),5.0 (6 reviews),Not found,https://www.facebook.com/deepakjoshi8473/
Sonakshi Girls Hostel,Girls,"Bagbazar, Kathmandu","Binayak Marg, Bagbazar, Kathmandu 44600",+977 974-4405554,+977 974-4405554,Not found,Not found,Not found,Not found,5.0 (7 reviews),Not found,https://maps.google.com
Serene Girls Hostel,Girls,"Bagbazar, Kathmandu","Bagbazar, Kathmandu, Bagmati Province 44600",+977 1-5367530,Not found,Not found,Not found,Not found,Not found,3.6 (46 reviews),Not found,https://maps.google.com
