Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
Happy Stay Boys Hostel - Dillibazar,Boys,"Dillibazar, Kathmandu","Dillibazar Road, Kathmandu, Bagmati Province 44605",+977 986-0617569,+977 986-0617569,Not found,Not found,Not found,Not found,4.8 (85 reviews),Not found,https://maps.google.com
Prakhyat Boys Hostel,Boys,"Dillibazar, Kathmandu","32 Dilli Bazaar Rd, Kathmandu, Bagmati Province 00977",+977 984-8616717,Not found,Not found,Not found,Not found,Not found,4.8 (70 reviews),Not found,https://maps.google.com
King's Hostel (Boys only),Boys,"Dillibazar, Kathmandu","Dilli Bazaar Rd (near Pipalbot), Kathmandu, Bagmati Province 44600",+977 984-8437355,Not found,Not found,Not found,Not found,Not found,4.6 (69 reviews),Not found,https://maps.google.com
Metro Boys Hostel,Boys,"Dillibazar, Kathmandu","Pipalbot, Dillibazar, Kathmandu, Bagmati Province",+977 985-5045665,Not found,Not found,Not found,Not found,Not found,4.4 (56 reviews),Not found,https://maps.google.com
City Deluxe Boys Hostel,Boys,"Dillibazar / New Plaza, Kathmandu","New Plaza Rd, Kathmandu, Bagmati Province 00977",+977 980-1028131,+977 980-1028131,Not found,http://cdbh.com.np/,Not found,Not found,4.2 (397 reviews),Large facility with laundry and lockers,http://cdbh.com.np/
Shinhwa Boys' Hostel,Boys,"Dillibazar, Kathmandu","P84G+JHX, Dillibazar, Gurju Marga, Kathmandu",+977 985-1098071,+977 985-1098071,Not found,Not found,Not found,Not found,4.3 (32 reviews),Not found,https://maps.google.com
Platinum Boys Hostel,Boys,"Dillibazar, Kathmandu","Lokpriya Marga, Dillibazar, Kathmandu, Bagmati Province 44600",+977 976-4859975,Not found,Not found,Not found,Not found,Not found,4.8 (31 reviews),Not found,https://maps.google.com
Nikit Boys Hostel,Boys,"Dillibazar, Kathmandu","P83F+8PG, Daphe Galli, Dillibazar, Kathmandu, Bagmati Province 44600",+977 984-8077926,Not found,Not found,Not found,Not found,Not found,4.9 (47 reviews),Not found,https://maps.google.com
The Center Boys Hostel,Boys,"Dillibazar, Kathmandu","P84G+35W, Dilli Bazar Height Marg, Kathmandu, Bagmati Province 44600",+977 974-1707100,+977 974-1707100,Not found,Not found,https://www.facebook.com/profile.php?id=61553635625093,Not found,4.5 (31 reviews),Not found,https://www.facebook.com/profile.php?id=61553635625093
Alsus Boys Hostel,Boys,"Dillibazar, Kathmandu","P84G+2XQ, Dilli Bazar Height Marg, Kathmandu, Bagmati Province 44600",+977 985-1340155,Not found,Not found,Not found,Not found,Not found,4.9 (18 reviews),Not found,https://maps.google.com
Everest Girls Hostel,Girls,"Dillibazar, Kathmandu","Dillibazar Road, Kathmandu, Bagmati Province 44605",+977 984-1805800,Not found,Not found,Not found,Not found,Not found,4.5 (362 reviews),Large student capacity,https://maps.google.com
KTM Valley Girls Hostel,Girls,"Dillibazar, Kathmandu","Dilli Bazar Height Marg, Kathmandu, Bagmati Province 44600",+977 984-3390714,Not found,Not found,Not found,Not found,Not found,4.6 (56 reviews),Not found,https://maps.google.com
Platinum Girls Hostel,Girls,"Dillibazar, Kathmandu","Dillibazar Pipalbot, Kathmandu, Bagmati Province 44605",+977 976-1798432,Not found,Not found,Not found,https://www.facebook.com/PlatinumGirlsHostelDillibazarKathmandu,Not found,4.3 (68 reviews),Decorated bedrooms and dining hall,https://www.facebook.com/PlatinumGirlsHostelDillibazarKathmandu
Annapurna Girls Hostel,Girls,"Dillibazar, Kathmandu","Kalika Mandir Marga, Dillibazar-29, Kathmandu 44600",+977 984-3462556,Not found,Not found,Not found,Not found,Not found,5.0 (22 reviews),Not found,https://maps.google.com
Cozy Nest Girls Hostel,Girls,"Dillibazar, Kathmandu","P84H+5PJ, Dillibazar, Kathmandu, Bagmati Province 44600",+977 986-0079457,+977 986-0079457,Not found,Not found,https://www.facebook.com/CozyNestKtm/,Not found,4.8 (14 reviews),Not found,https://www.facebook.com/CozyNestKtm/
Holy Gems Girls Hostel,Girls,"Dillibazar, Kathmandu","P83J+PF5, Birendra Marg, Dillibazar, Kathmandu 44600",+977 1-4438582,Not found,Not found,https://www.holygems.com/,Not found,Not found,3.2 (28 reviews),Not found,https://www.holygems.com/
Iroha Girls Hostel,Girls,"Dillibazar, Kathmandu","Dillibazar Road, Kathmandu, Bagmati Province 44600",+977 980-8908531,Not found,Not found,Not found,Not found,Not found,4.1 (7 reviews),Not found,https://maps.google.com
