Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
City Deluxe Boys Hostel,Boys,"Putalisadak, Kathmandu","New Plaza Rd, Putalisadak, Kathmandu, Bagmati Province 00977",+977 980-1028131,+977 980-1028131,Not found,http://cdbh.com.np/,Not found,Not found,4.2 (397 reviews),Not found,http://cdbh.com.np/
Punnya Mata Boys Hostel Putalisadak,Boys,"Putalisadak, Kathmandu","Putalisadak Chowk, Kathmandu 44600",+977 986-1633560,Not found,Not found,Not found,Not found,Not found,4.5 (50 reviews),Not found,https://maps.google.com
Gaurishankar Boys Hostel,Boys,"Putalisadak, Kathmandu","New Plaza Road, Putalisadak, Kathmandu 44600",+977 986-8394332,+977 986-8394332,Not found,Not found,https://www.facebook.com/Gaurishankerboyshostel/,"Sudip Acharya (Management, noted on FB)",4.3 (47 reviews),Not found,https://www.facebook.com/Gaurishankerboyshostel/
Sunrise Boys Hostel,Boys,"Putalisadak, Kathmandu","29 New Plaza Rd, Putalisadak, Kathmandu, Bagmati Province 44600",+977 986-3724616,Not found,Not found,Not found,Not found,Not found,3.3 (144 reviews),Not found,https://maps.google.com
Radiant Girls Hostel - Putalisadak,Girls,"Putalisadak, Kathmandu","New Plaza Rd, Putalisadak, Kathmandu, Bagmati Province 44600",+977 986-1030982,Not found,Not found,Not found,Not found,Not found,4.7 (33 reviews),Not found,https://maps.google.com
Radiant Girls Hostel - Dhobidhara Branch,Girls,"Putalisadak, Kathmandu","Dhobidhara / Putalisadak, Kathmandu, Bagmati Province 44600",+977 984-2337894,Not found,Not found,Not found,Not found,Not found,4.9 (32 reviews),Not found,https://maps.google.com
Image Girls Hostel,Girls,"Putalisadak, Kathmandu","New Plaza Rd, Putalisadak, Kathmandu, Bagmati Province 44600",+977 985-1228598,Not found,Not found,Not found,Not found,Not found,4.3 (49 reviews),Not found,https://maps.google.com
Marigold Girls Hostel,Girls,"Putalisadak, Kathmandu","Hostel Bhawan, New Plaza Rd, Putalisadak, Kathmandu 44600",+977 985-1047494,Not found,Not found,Not found,Not found,Not found,4.0 (91 reviews),Not found,https://maps.google.com
New Kamana Girls Hostel,Girls,"Putalisadak, Kathmandu","P82F+V9J, New Plaza Rd, Putalisadak, Kathmandu 44600",+977 976-5012238,Not found,Not found,Not found,https://g.co/kgs/86AM5d8,Not found,5.0 (81 reviews),Not found,https://g.co/kgs/86AM5d8
Shree Narayani Girls Hostel,Girls,"Putalisadak, Kathmandu","Makhamalli St, Putalisadak, Kathmandu 44600",+977 986-6221609,Not found,Not found,Not found,Not found,Not found,4.6 (28 reviews),Not found,https://maps.google.com
Aanchal Girls Hostel,Girls,"Putalisadak, Kathmandu","New Plaza Rd, Putalisadak, Kathmandu 44600","+977 976-1864896, +977 981-1628548",+977 976-1864896,bamsaru2@gmail.com,Not found,Not found,Not found,4.9 (59 reviews),Single and Shared rooms,https://maps.google.com
New Anugraha Girls Hostel,Girls,"Putalisadak, Kathmandu","Putalisadak / New Plaza corridor, Kathmandu 44600",+977 984-9308994,+977 984-9308994,Not found,Not found,Not found,Not found,4.2 (53 reviews),Not found,https://maps.google.com
Subhakamana Girls Hostel,Girls,"Putalisadak, Kathmandu","Near Star Mall, Putalisadak, Kathmandu 44600","+977 984-3700312, +977 981-3750133",Not found,Not found,Not found,https://www.facebook.com/ShubhakamanaGirlsHostel/,Not found,Not found,Not found,https://www.facebook.com/ShubhakamanaGirlsHostel/
Mount Everest Boys and Girls Hostel,Co-ed,"Putalisadak, Kathmandu","Kumari Marg, Putalisadak, Kathmandu 44600",+977 985-1169318,Not found,Not found,Not found,https://www.facebook.com/mt.boysandgirlshostel,Not found,4.3 (186 reviews),Separate boys and girls wings,https://www.facebook.com/mt.boysandgirlshostel
